round_epochs,val_loss,val_acc,loss,acc,activation,emb_output_dims,epochs,first_neuron,hidden_layers,last_activation,losses,lr,optimizer,shape,weight_regulizer
5,0.0024418855508204513,0.9993714690208435,0.002293258010545688,0.999508,relu,None,5,4,0,sigmoid,binary_crossentropy,0.5,Adam,brick,None
5,0.001972071490082643,0.9996408820152283,0.0016971780412638239,0.9996904,relu,None,5,4,0,sigmoid,binary_crossentropy,0.95,Adam,brick,None
5,0.0021185744593813336,0.99946129322052,0.0019422685088578665,0.99965173,relu,None,5,4,0,sigmoid,binary_crossentropy,1.4,Adam,brick,None
5,0.002129040709800123,0.999618411064148,0.0020145693103412717,0.99957436,relu,None,5,4,0,sigmoid,binary_crossentropy,1.8499999999999999,Adam,brick,None
5,0.0017090688294999763,0.9995510578155518,0.0015936893817693823,0.99971807,relu,None,5,4,0,sigmoid,binary_crossentropy,2.3,Adam,brick,None
5,0.002008671241821746,0.99946129322052,0.00182281330842802,0.9995688,relu,None,5,4,0,sigmoid,binary_crossentropy,2.75,Adam,brick,None
5,0.0025281766875065955,0.9991806745529175,0.0022365777369953675,0.99954116,relu,None,5,4,0,sigmoid,binary_crossentropy,3.1999999999999997,Adam,brick,None
5,0.002119886686983473,0.9995286464691162,0.002025952855519692,0.9996186,relu,None,5,4,0,sigmoid,binary_crossentropy,3.6499999999999995,Adam,brick,None
5,0.0027790233923571618,0.9992592334747314,0.002672676349562877,0.99949145,relu,None,5,4,0,sigmoid,binary_crossentropy,4.1,Adam,brick,None
5,0.00202352625173684,0.9995173811912537,0.0018929106460741773,0.999602,relu,None,5,4,0,sigmoid,binary_crossentropy,4.55,Adam,brick,None
5,0.0007550863572881197,0.9998204112052917,0.0006950921016022913,0.9998618,relu,None,5,4,1,sigmoid,binary_crossentropy,0.5,Adam,brick,None
5,0.0015842545068246174,0.9994837045669556,0.0011069658633828389,0.9997734,relu,None,5,4,1,sigmoid,binary_crossentropy,0.95,Adam,brick,None
5,0.0008127801363174922,0.9996969699859619,0.0006091900769891529,0.9998673,relu,None,5,4,1,sigmoid,binary_crossentropy,1.4,Adam,brick,None
5,0.001300830240270739,0.9995622634887695,0.0009703382683917753,0.99981755,relu,None,5,4,1,sigmoid,binary_crossentropy,1.8499999999999999,Adam,brick,None
5,0.000986781280297506,0.9996296167373657,0.0007871954031428601,0.9998342,relu,None,5,4,1,sigmoid,binary_crossentropy,2.3,Adam,brick,None
5,0.0011382819824945077,0.99973064661026,0.0010938071228322847,0.9997955,relu,None,5,4,1,sigmoid,binary_crossentropy,2.75,Adam,brick,None
5,0.0006766780110485407,0.999809205532074,0.0005714143437853234,0.9998673,relu,None,5,4,1,sigmoid,binary_crossentropy,3.1999999999999997,Adam,brick,None
5,0.0009085518363603993,0.9997081756591797,0.0007251392779110069,0.9998342,relu,None,5,4,1,sigmoid,binary_crossentropy,3.6499999999999995,Adam,brick,None
5,0.0009239377367302404,0.9996632933616638,0.0007289328301646989,0.9998342,relu,None,5,4,1,sigmoid,binary_crossentropy,4.1,Adam,brick,None
5,0.0011396959885446862,0.9996744990348816,0.0009921301172155193,0.999801,relu,None,5,4,1,sigmoid,binary_crossentropy,4.55,Adam,brick,None
5,0.00121032309641025,0.999652087688446,0.0007143440255486425,0.99985075,relu,None,5,4,2,sigmoid,binary_crossentropy,0.5,Adam,brick,None
5,0.15914120634129286,0.9627385139465332,0.15806023406679293,0.9630735,relu,None,5,4,2,sigmoid,binary_crossentropy,0.95,Adam,brick,None
5,0.15914611052449973,0.9627385139465332,0.15805511474345785,0.9630735,relu,None,5,4,2,sigmoid,binary_crossentropy,1.4,Adam,brick,None
5,0.0007350806289136278,0.9997979998588562,0.0005366257008212652,0.9998618,relu,None,5,4,2,sigmoid,binary_crossentropy,1.8499999999999999,Adam,brick,None
5,0.15914305967513961,0.9627385139465332,0.15805933547388987,0.9630735,relu,None,5,4,2,sigmoid,binary_crossentropy,2.3,Adam,brick,None
5,0.0008132689970354189,0.9997530579566956,0.0007219074456991124,0.99983966,relu,None,5,4,2,sigmoid,binary_crossentropy,2.75,Adam,brick,None
5,0.1591413228626872,0.9627385139465332,0.15806379460593228,0.9630735,relu,None,5,4,2,sigmoid,binary_crossentropy,3.1999999999999997,Adam,brick,None
