round_epochs,val_loss,val_acc,loss,acc,activation,emb_output_dims,epochs,first_neuron,hidden_layers,last_activation,losses,lr,optimizer,shape,weight_regulizer
5,0.06799896572285143,0.9793073534965515,0.06851142095223164,0.97923243,relu,None,5,4,0,sigmoid,binary_crossentropy,0.5,Adam,brick,None
5,0.062242121282497266,0.9792208075523376,0.06081429307696535,0.97914714,relu,None,5,4,0,sigmoid,binary_crossentropy,0.95,Adam,brick,None
5,0.06835481099042541,0.9791774749755859,0.06871888042640076,0.97944564,relu,None,5,4,0,sigmoid,binary_crossentropy,1.4,Adam,brick,None
5,0.06007411373109916,0.9798701405525208,0.058890820636328604,0.97985077,relu,None,5,4,0,sigmoid,binary_crossentropy,1.8499999999999999,Adam,brick,None
5,0.06780246397569066,0.9790043234825134,0.06870421648819817,0.97889125,relu,None,5,4,0,sigmoid,binary_crossentropy,2.3,Adam,brick,None
5,0.07237065600013579,0.9780086874961853,0.07211144583089266,0.9782729,relu,None,5,4,0,sigmoid,binary_crossentropy,2.75,Adam,brick,None
5,0.06750882684507153,0.9788311719894409,0.06855385088177124,0.97940296,relu,None,5,4,0,sigmoid,binary_crossentropy,3.1999999999999997,Adam,brick,None
5,0.05505674441558716,0.9808225035667419,0.05526877068733769,0.9805757,relu,None,5,4,0,sigmoid,binary_crossentropy,3.6499999999999995,Adam,brick,None
5,0.06273996322734274,0.9787012934684753,0.06163109144390519,0.9788699,relu,None,5,4,0,sigmoid,binary_crossentropy,4.1,Adam,brick,None
5,0.061950581453385806,0.9788311719894409,0.06096531887798866,0.97893393,relu,None,5,4,0,sigmoid,binary_crossentropy,4.55,Adam,brick,None
5,0.06035167627681643,0.9818181991577148,0.06283679275592761,0.9816205,relu,None,5,4,1,sigmoid,binary_crossentropy,0.5,Adam,brick,None
5,0.06439994343528242,0.9806926250457764,0.06436649324765592,0.9809595,relu,None,5,4,1,sigmoid,binary_crossentropy,0.95,Adam,brick,None
5,0.05478675645586603,0.9843289852142334,0.05732393395846713,0.98434967,relu,None,5,4,1,sigmoid,binary_crossentropy,1.4,Adam,brick,None
5,0.045285779192995326,0.9861904978752136,0.046145082143133384,0.98503196,relu,None,5,4,1,sigmoid,binary_crossentropy,1.8499999999999999,Adam,brick,None
5,0.0537303530965081,0.9851948022842407,0.057071490335836216,0.9843283,relu,None,5,4,1,sigmoid,binary_crossentropy,2.3,Adam,brick,None
5,0.05749548148363828,0.9832900166511536,0.05853379878694061,0.9828358,relu,None,5,4,1,sigmoid,binary_crossentropy,2.75,Adam,brick,None
5,0.04710659241852112,0.9845887422561646,0.04701790354248367,0.9841791,relu,None,5,4,1,sigmoid,binary_crossentropy,3.1999999999999997,Adam,brick,None
5,0.05735325050383032,0.982813835144043,0.058470863732439815,0.9828998,relu,None,5,4,1,sigmoid,binary_crossentropy,3.6499999999999995,Adam,brick,None
5,0.04767464314172149,0.9852814078330994,0.048527620225382255,0.9841578,relu,None,5,4,1,sigmoid,binary_crossentropy,4.1,Adam,brick,None
5,0.05805907717256835,0.983116865158081,0.06030723512601624,0.98304904,relu,None,5,4,1,sigmoid,binary_crossentropy,4.55,Adam,brick,None
5,0.4109855628890909,0.8566666841506958,0.4097176897551205,0.8573774,relu,None,5,4,2,sigmoid,binary_crossentropy,0.5,Adam,brick,None
5,0.41097858584804453,0.8566666841506958,0.40971437261048665,0.8573774,relu,None,5,4,2,sigmoid,binary_crossentropy,0.95,Adam,brick,None
5,0.4109686590944018,0.8566666841506958,0.40971767258288255,0.8573774,relu,None,5,4,2,sigmoid,binary_crossentropy,1.4,Adam,brick,None
5,0.41096868736919384,0.8566666841506958,0.40972387249281667,0.8573774,relu,None,5,4,2,sigmoid,binary_crossentropy,1.8499999999999999,Adam,brick,None
5,0.051106513563817714,0.9845021367073059,0.05331996964493286,0.9839872,relu,None,5,4,2,sigmoid,binary_crossentropy,2.3,Adam,brick,None
5,0.06131453066096677,0.9819913506507874,0.06189003690457674,0.98138595,relu,None,5,4,2,sigmoid,binary_crossentropy,2.75,Adam,brick,None
5,0.059904676347616176,0.981471836566925,0.061085419695514606,0.98198295,relu,None,5,4,2,sigmoid,binary_crossentropy,3.1999999999999997,Adam,brick,None
