round_epochs,val_loss,val_acc,loss,acc,activation,batch_size,dropout,emb_output_dims,epochs,first_neuron,hidden_layers,last_activation,losses,lr,optimizer,shape,weight_regulizer
5,0.45741020421013995,0.7426515221595764,0.45431092124859906,0.7451741,relu,2,0.0,None,5,8,0,sigmoid,binary_crossentropy,1.8499999999999999,Adam,brick,None
5,0.45484631029246564,0.7437878847122192,0.4530976136512078,0.74511194,relu,2,0.0,None,5,8,0,sigmoid,binary_crossentropy,2.3,Adam,brick,None
5,0.4616263085936694,0.7320201992988586,0.4609055137718807,0.73449004,relu,2,0.0,None,5,8,0,sigmoid,binary_crossentropy,2.75,Adam,brick,None
5,0.45490978034424134,0.7449747323989868,0.45320339040801755,0.74524873,relu,2,0.0,None,5,8,0,sigmoid,binary_crossentropy,3.1999999999999997,Adam,brick,None
5,0.45460354374724393,0.7427525520324707,0.4538712659839173,0.7438557,relu,2,0.0,None,5,8,0,sigmoid,binary_crossentropy,3.6499999999999995,Adam,brick,None
5,0.4615968491164398,0.7331565618515015,0.4614819223841032,0.7338682,relu,2,0.0,None,5,8,0,sigmoid,binary_crossentropy,4.1,Adam,brick,None
5,0.45700328919813427,0.7428283095359802,0.4534973657998835,0.7448383,relu,2,0.0,None,5,8,0,sigmoid,binary_crossentropy,4.55,Adam,brick,None
5,0.4535785375159923,0.7464898824691772,0.4546168934358442,0.7450373,relu,2,0.0,None,5,8,1,sigmoid,binary_crossentropy,0.5,Adam,brick,None
5,0.4532379702611423,0.7452525496482849,0.45398351544520615,0.74370646,relu,2,0.0,None,5,8,1,sigmoid,binary_crossentropy,0.95,Adam,brick,None
5,0.4535366124385602,0.7451010346412659,0.4535645542767976,0.7462189,relu,2,0.0,None,5,8,1,sigmoid,binary_crossentropy,1.4,Adam,brick,None
5,0.45456296629010834,0.742070734500885,0.4525061997857052,0.74524873,relu,2,0.0,None,5,8,1,sigmoid,binary_crossentropy,1.8499999999999999,Adam,brick,None
5,0.45839174960618073,0.738611102104187,0.455768114376818,0.7404851,relu,2,0.0,None,5,8,1,sigmoid,binary_crossentropy,2.3,Adam,brick,None
5,0.45694885374127964,0.7425252795219421,0.45438982317149873,0.74317163,relu,2,0.0,None,5,8,1,sigmoid,binary_crossentropy,2.75,Adam,brick,None
5,0.4537820196328123,0.7440656423568726,0.45463752036052,0.74465173,relu,2,0.0,None,5,8,1,sigmoid,binary_crossentropy,3.1999999999999997,Adam,brick,None
