round_epochs,val_loss,val_acc,loss,acc,activation,emb_output_dims,epochs,first_neuron,hidden_layers,last_activation,losses,lr,optimizer,shape,weight_regulizer
5,0.009047077860055106,0.998539924621582,0.0111711132801325,0.9981954,relu,None,5,4,0,sigmoid,binary_crossentropy,0.5,Adam,brick,None
5,0.008566852114722967,0.9985950589179993,0.011009360530579484,0.99793756,relu,None,5,4,0,sigmoid,binary_crossentropy,0.95,Adam,brick,None
5,0.008898305557753998,0.9983195662498474,0.011258115981232731,0.99792403,relu,None,5,4,0,sigmoid,binary_crossentropy,1.4,Adam,brick,None
5,0.008179186959939364,0.9990633726119995,0.010425562069348006,0.99850744,relu,None,5,4,0,sigmoid,binary_crossentropy,1.8499999999999999,Adam,brick,None
5,0.009547431637199798,0.998264491558075,0.012735923658830504,0.9976255,relu,None,5,4,0,sigmoid,binary_crossentropy,2.3,Adam,brick,None
5,0.008012386285876291,0.9988154172897339,0.010171098046722145,0.99838537,relu,None,5,4,0,sigmoid,binary_crossentropy,2.75,Adam,brick,None
5,0.00868423126710094,0.998677670955658,0.011124545787065416,0.99792403,relu,None,5,4,0,sigmoid,binary_crossentropy,3.1999999999999997,Adam,brick,None
5,0.006972193210962204,0.9987603425979614,0.008427118288528103,0.9983989,relu,None,5,4,0,sigmoid,binary_crossentropy,3.6499999999999995,Adam,brick,None
5,0.009362429974563952,0.998264491558075,0.011414525163317597,0.99770695,relu,None,5,4,0,sigmoid,binary_crossentropy,4.1,Adam,brick,None
5,0.00811346035725139,0.9987603425979614,0.010237311899064915,0.9984125,relu,None,5,4,0,sigmoid,binary_crossentropy,4.55,Adam,brick,None
5,0.0044849457183916445,0.9991735816001892,0.005482097085511361,0.9991045,relu,None,5,4,1,sigmoid,binary_crossentropy,0.5,Adam,brick,None
5,0.0045382034934803505,0.9992837309837341,0.006268279963387369,0.99887383,relu,None,5,4,1,sigmoid,binary_crossentropy,0.95,Adam,brick,None
5,0.005499171101096425,0.9987878799438477,0.005585723479345242,0.99922657,relu,None,5,4,1,sigmoid,binary_crossentropy,1.4,Adam,brick,None
5,0.005552758031064999,0.9990633726119995,0.006670269654437905,0.99856174,relu,None,5,4,1,sigmoid,binary_crossentropy,1.8499999999999999,Adam,brick,None
5,0.004810783044927509,0.9990633726119995,0.006009430453546394,0.9989959,relu,None,5,4,1,sigmoid,binary_crossentropy,2.3,Adam,brick,None
5,0.004513034486030527,0.9992561936378479,0.0057326578796613546,0.9989959,relu,None,5,4,1,sigmoid,binary_crossentropy,2.75,Adam,brick,None
5,0.0027995206867244657,0.9992011189460754,0.0037929603058615598,0.99894166,relu,None,5,4,1,sigmoid,binary_crossentropy,3.1999999999999997,Adam,brick,None
5,0.005492476885880329,0.9993388652801514,0.007996092601868711,0.99856174,relu,None,5,4,1,sigmoid,binary_crossentropy,3.6499999999999995,Adam,brick,None
5,0.0067416684596388055,0.9988980889320374,0.0075057493852587615,0.9987788,relu,None,5,4,1,sigmoid,binary_crossentropy,4.1,Adam,brick,None
5,0.006731499332305866,0.9989256262779236,0.0067038374969327075,0.9985753,relu,None,5,4,1,sigmoid,binary_crossentropy,4.55,Adam,brick,None
5,0.3027579561598373,0.9099173545837402,0.30558751458067096,0.90868384,relu,None,5,4,2,sigmoid,binary_crossentropy,0.5,Adam,brick,None
5,0.0042922788481850925,0.9990909099578857,0.005443582510397493,0.9990502,relu,None,5,4,2,sigmoid,binary_crossentropy,0.95,Adam,brick,None
5,0.006354651870616498,0.9991735816001892,0.008092991382406779,0.9987517,relu,None,5,4,2,sigmoid,binary_crossentropy,1.4,Adam,brick,None
5,0.0065930662250541375,0.9988980889320374,0.010126262969960392,0.9982361,relu,None,5,4,2,sigmoid,binary_crossentropy,1.8499999999999999,Adam,brick,None
5,0.30273458448651736,0.9099173545837402,0.30559449742412953,0.90868384,relu,None,5,4,2,sigmoid,binary_crossentropy,2.3,Adam,brick,None
5,0.3027568330121106,0.9099173545837402,0.30558757799936603,0.90868384,relu,None,5,4,2,sigmoid,binary_crossentropy,2.75,Adam,brick,None
5,0.30273355621690595,0.9099173545837402,0.3055935086874011,0.90868384,relu,None,5,4,2,sigmoid,binary_crossentropy,3.1999999999999997,Adam,brick,None
5,0.0038947200786386606,0.9995316863059998,0.006183476723440584,0.9990231,relu,None,5,4,2,sigmoid,binary_crossentropy,3.6499999999999995,Adam,brick,None
5,0.3027347475495549,0.9099173545837402,0.3055970566793569,0.90868384,relu,None,5,4,2,sigmoid,binary_crossentropy,4.1,Adam,brick,None
5,0.3027464911177467,0.9099173545837402,0.30559389587982055,0.90868384,relu,None,5,4,2,sigmoid,binary_crossentropy,4.55,Adam,brick,None
5,0.006428050453821614,0.998539924621582,0.00717665284892481,0.99858886,relu,None,5,8,0,sigmoid,binary_crossentropy,0.5,Adam,brick,None
5,0.00710029780993959,0.9987052083015442,0.008383768203861226,0.99856174,relu,None,5,8,0,sigmoid,binary_crossentropy,0.95,Adam,brick,None
5,0.00605088514564562,0.9987328052520752,0.006573477063527529,0.9984803,relu,None,5,8,0,sigmoid,binary_crossentropy,1.4,Adam,brick,None
5,0.006408149876496139,0.998567521572113,0.0074688022327721905,0.99846673,relu,None,5,8,0,sigmoid,binary_crossentropy,1.8499999999999999,Adam,brick,None
5,0.006787278729666681,0.9984021782875061,0.007141748360824738,0.99833107,relu,None,5,8,0,sigmoid,binary_crossentropy,2.3,Adam,brick,None
5,0.006388570906632038,0.9988980889320374,0.008407992047921361,0.9986703,relu,None,5,8,0,sigmoid,binary_crossentropy,2.75,Adam,brick,None
5,0.006307681653869178,0.9987052083015442,0.006749343821171342,0.9984396,relu,None,5,8,0,sigmoid,binary_crossentropy,3.1999999999999997,Adam,brick,None
5,0.0060826211619252925,0.9985950589179993,0.006698541598878616,0.9984261,relu,None,5,8,0,sigmoid,binary_crossentropy,3.6499999999999995,Adam,brick,None
5,0.006537523213197501,0.998567521572113,0.0071992507960405945,0.99822253,relu,None,5,8,0,sigmoid,binary_crossentropy,4.1,Adam,brick,None
5,0.007018903126926822,0.9988429546356201,0.007114470645856729,0.99838537,relu,None,5,8,0,sigmoid,binary_crossentropy,4.55,Adam,brick,None
5,0.005790200821911959,0.9985123872756958,0.005484254353747026,0.99884665,relu,None,5,8,1,sigmoid,binary_crossentropy,0.5,Adam,brick,None
5,0.0038602153369323286,0.9992837309837341,0.005500710356399031,0.9989688,relu,None,5,8,1,sigmoid,binary_crossentropy,0.95,Adam,brick,None
5,0.004273329639092788,0.9993388652801514,0.005866963156211554,0.99886024,relu,None,5,8,1,sigmoid,binary_crossentropy,1.4,Adam,brick,None
5,0.004521297292025188,0.9990633726119995,0.005602907412348126,0.99895525,relu,None,5,8,1,sigmoid,binary_crossentropy,1.8499999999999999,Adam,brick,None
5,0.004588835405184553,0.9989531636238098,0.005336629667353332,0.99898237,relu,None,5,8,1,sigmoid,binary_crossentropy,2.3,Adam,brick,None
5,0.003839098757368526,0.998980700969696,0.003785851810962861,0.99891454,relu,None,5,8,1,sigmoid,binary_crossentropy,2.75,Adam,brick,None
