round_epochs,val_loss,val_acc,loss,acc,activation,emb_output_dims,epochs,first_neuron,hidden_layers,last_activation,losses,lr,optimizer,shape,weight_regulizer
5,0.44275420022473255,0.8023845553398132,0.4570347915053921,0.79064775,relu,None,5,4,0,sigmoid,binary_crossentropy,0.5,Adam,brick,None
5,0.48811400106649233,0.7680843472480774,0.5005133475565307,0.75344026,relu,None,5,4,0,sigmoid,binary_crossentropy,0.95,Adam,brick,None
5,0.38126059613816304,0.8321914672851562,0.38380996125253686,0.8314708,relu,None,5,4,0,sigmoid,binary_crossentropy,1.4,Adam,brick,None
5,0.3849893618583552,0.8322359919548035,0.3871598613806554,0.8325883,relu,None,5,4,0,sigmoid,binary_crossentropy,1.8499999999999999,Adam,brick,None
5,0.3852483403872039,0.8312127590179443,0.38725077034411687,0.83250064,relu,None,5,4,0,sigmoid,binary_crossentropy,2.3,Adam,brick,None
5,0.392606542854825,0.8309903144836426,0.39893014882488353,0.8289289,relu,None,5,4,0,sigmoid,binary_crossentropy,2.75,Adam,brick,None
5,0.3803777757454347,0.8327253460884094,0.3838263663561006,0.8312955,relu,None,5,4,0,sigmoid,binary_crossentropy,3.1999999999999997,Adam,brick,None
5,0.3853038963935099,0.8329477906227112,0.3867746141437728,0.8329827,relu,None,5,4,0,sigmoid,binary_crossentropy,3.6499999999999995,Adam,brick,None
5,0.38599692384764356,0.8310793042182922,0.3885202597389506,0.8307257,relu,None,5,4,0,sigmoid,binary_crossentropy,4.1,Adam,brick,None
5,0.38590577558983646,0.831924557685852,0.38757199974294215,0.8315146,relu,None,5,4,0,sigmoid,binary_crossentropy,4.55,Adam,brick,None
5,0.37493890354865406,0.8331257104873657,0.3768328772396573,0.83513016,relu,None,5,4,1,sigmoid,binary_crossentropy,0.5,Adam,brick,None
5,0.39545350734932333,0.8200017809867859,0.41764069992148684,0.81063193,relu,None,5,4,1,sigmoid,binary_crossentropy,0.95,Adam,brick,None
5,0.37369060234482976,0.8353056311607361,0.3736032225888391,0.8376282,relu,None,5,4,1,sigmoid,binary_crossentropy,1.4,Adam,brick,None
5,0.37913848217754076,0.8308123350143433,0.3805602792190392,0.8329827,relu,None,5,4,1,sigmoid,binary_crossentropy,1.8499999999999999,Adam,brick,None
5,0.3767857379347566,0.8350831866264343,0.37939385347377197,0.8335086,relu,None,5,4,1,sigmoid,binary_crossentropy,2.3,Adam,brick,None
5,0.3726323031042169,0.8352611660957336,0.3748055085055259,0.8362039,relu,None,5,4,1,sigmoid,binary_crossentropy,2.75,Adam,brick,None
5,0.37301152533553167,0.8369072079658508,0.37504129926504687,0.83629155,relu,None,5,4,1,sigmoid,binary_crossentropy,3.1999999999999997,Adam,brick,None
5,0.3758686540514265,0.8334816098213196,0.37746157897157123,0.8362039,relu,None,5,4,1,sigmoid,binary_crossentropy,3.6499999999999995,Adam,brick,None
5,0.3735165016269735,0.8348162770271301,0.37610841248024773,0.83655447,relu,None,5,4,1,sigmoid,binary_crossentropy,4.1,Adam,brick,None
5,0.3742001660619621,0.8340599536895752,0.37491879376785,0.8355027,relu,None,5,4,1,sigmoid,binary_crossentropy,4.55,Adam,brick,None
5,0.37071092876503187,0.8352611660957336,0.37296645910799037,0.8367079,relu,None,5,4,2,sigmoid,binary_crossentropy,0.5,Adam,brick,None
5,0.3758567396655118,0.8319690227508545,0.37358687091473475,0.83543694,relu,None,5,4,2,sigmoid,binary_crossentropy,0.95,Adam,brick,None
5,0.37189098105957547,0.8359284400939941,0.3736388497704356,0.8364011,relu,None,5,4,2,sigmoid,binary_crossentropy,1.4,Adam,brick,None
5,0.3707862974024612,0.8370406627655029,0.3738841365701854,0.8355027,relu,None,5,4,2,sigmoid,binary_crossentropy,1.8499999999999999,Adam,brick,None
5,0.3706012090331815,0.8354836106300354,0.37357038578322377,0.83651066,relu,None,5,4,2,sigmoid,binary_crossentropy,2.3,Adam,brick,None
5,0.3716991709327982,0.8355725407600403,0.3739009176397503,0.8361381,relu,None,5,4,2,sigmoid,binary_crossentropy,2.75,Adam,brick,None
5,0.3715830357545253,0.8349941968917847,0.37650071268788415,0.8339469,relu,None,5,4,2,sigmoid,binary_crossentropy,3.1999999999999997,Adam,brick,None
5,0.3696999230310792,0.8361954092979431,0.37224144264121806,0.83703655,relu,None,5,4,2,sigmoid,binary_crossentropy,3.6499999999999995,Adam,brick,None
5,0.3797168259277962,0.8317911028862,0.38255286792590165,0.832413,relu,None,5,4,2,sigmoid,binary_crossentropy,4.1,Adam,brick,None
5,0.37545572710515596,0.8342379331588745,0.37762912576816515,0.83383733,relu,None,5,4,2,sigmoid,binary_crossentropy,4.55,Adam,brick,None
5,0.3761208925632536,0.8353056311607361,0.3800974692275882,0.8351082,relu,None,5,8,0,sigmoid,binary_crossentropy,0.5,Adam,brick,None
5,0.37989701093468276,0.8328588008880615,0.3820669570158508,0.8345385,relu,None,5,8,0,sigmoid,binary_crossentropy,0.95,Adam,brick,None
5,0.3783591889857249,0.8335261344909668,0.3809973610143363,0.8343632,relu,None,5,8,0,sigmoid,binary_crossentropy,1.4,Adam,brick,None
5,0.37593314490349905,0.8358395099639893,0.380103648717193,0.83477956,relu,None,5,8,0,sigmoid,binary_crossentropy,1.8499999999999999,Adam,brick,None
5,0.3782958073533401,0.8352611660957336,0.3816706710917493,0.83285123,relu,None,5,8,0,sigmoid,binary_crossentropy,2.3,Adam,brick,None
5,0.37846264392415957,0.8340154886245728,0.3814564255579754,0.83427554,relu,None,5,8,0,sigmoid,binary_crossentropy,2.75,Adam,brick,None
5,0.3799029352579775,0.8332147002220154,0.38168139572220455,0.83473575,relu,None,5,8,0,sigmoid,binary_crossentropy,3.1999999999999997,Adam,brick,None
5,0.37974151530366784,0.833793044090271,0.38231816021919,0.8337935,relu,None,5,8,0,sigmoid,binary_crossentropy,3.6499999999999995,Adam,brick,None
