round_epochs,val_loss,val_acc,loss,acc,activation,emb_output_dims,epochs,first_neuron,hidden_layers,last_activation,losses,lr,optimizer,shape,weight_regulizer
5,0.008010061030285526,0.9977777600288391,0.009323034657146874,0.9974229,relu,None,5,4,0,sigmoid,binary_crossentropy,0.5,Adam,brick,None
5,0.010924787525294556,0.9968282580375671,0.011979522396750118,0.9964975,relu,None,5,4,0,sigmoid,binary_crossentropy,0.95,Adam,brick,None
5,0.00975548939305273,0.9973131418228149,0.010944954807485514,0.9968458,relu,None,5,4,0,sigmoid,binary_crossentropy,1.4,Adam,brick,None
5,0.010925894523660343,0.9970303177833557,0.012121401057448886,0.99658704,relu,None,5,4,0,sigmoid,binary_crossentropy,1.8499999999999999,Adam,brick,None
5,0.00793719459680671,0.9972525238990784,0.008989637229021694,0.99738306,relu,None,5,4,0,sigmoid,binary_crossentropy,2.3,Adam,brick,None
5,0.00943127585343565,0.996989905834198,0.01077751897602569,0.9968856,relu,None,5,4,0,sigmoid,binary_crossentropy,2.75,Adam,brick,None
5,0.007844080218048107,0.9975353479385376,0.009215144815053143,0.9973234,relu,None,5,4,0,sigmoid,binary_crossentropy,3.1999999999999997,Adam,brick,None
5,0.008213260460080522,0.9972525238990784,0.009149671234153396,0.99738306,relu,None,5,4,0,sigmoid,binary_crossentropy,3.6499999999999995,Adam,brick,None
5,0.0114175926578805,0.9967070817947388,0.012059072814483325,0.9965473,relu,None,5,4,0,sigmoid,binary_crossentropy,4.1,Adam,brick,None
5,0.0083628515308403,0.9971514940261841,0.009142787913319224,0.9974229,relu,None,5,4,0,sigmoid,binary_crossentropy,4.55,Adam,brick,None
5,0.0029373585248361296,0.9989494681358337,0.004696080526521207,0.9989055,relu,None,5,4,1,sigmoid,binary_crossentropy,0.5,Adam,brick,None
5,0.003051751852646997,0.9991515278816223,0.004903759095854293,0.99886566,relu,None,5,4,1,sigmoid,binary_crossentropy,0.95,Adam,brick,None
5,0.002700040596041057,0.9994141459465027,0.004479640273350657,0.9989055,relu,None,5,4,1,sigmoid,binary_crossentropy,1.4,Adam,brick,None
5,0.00481742774724791,0.9989898800849915,0.0051013445353716965,0.99877614,relu,None,5,4,1,sigmoid,binary_crossentropy,1.8499999999999999,Adam,brick,None
5,0.0030436913067324444,0.9990302920341492,0.004753152265567889,0.9987463,relu,None,5,4,1,sigmoid,binary_crossentropy,2.3,Adam,brick,None
5,0.003870569795840467,0.9989696741104126,0.004327419536483627,0.9989453,relu,None,5,4,1,sigmoid,binary_crossentropy,2.75,Adam,brick,None
5,0.0032229195824363317,0.9991313219070435,0.00506115391309285,0.99898505,relu,None,5,4,1,sigmoid,binary_crossentropy,3.1999999999999997,Adam,brick,None
5,0.003932744529312289,0.9988282918930054,0.0040291124873496915,0.99909455,relu,None,5,4,1,sigmoid,binary_crossentropy,3.6499999999999995,Adam,brick,None
5,0.0031847694316817768,0.9990302920341492,0.004071470035778692,0.9989254,relu,None,5,4,1,sigmoid,binary_crossentropy,4.1,Adam,brick,None
5,0.00440898215339044,0.9988484978675842,0.004211302476003766,0.9988856,relu,None,5,4,1,sigmoid,binary_crossentropy,4.55,Adam,brick,None
5,0.008625934920706457,0.998100996017456,0.0054399653112061725,0.9986269,relu,None,5,4,2,sigmoid,binary_crossentropy,0.5,Adam,brick,None
5,0.0032909835571413764,0.9989696741104126,0.005231880164867967,0.9987463,relu,None,5,4,2,sigmoid,binary_crossentropy,0.95,Adam,brick,None
5,0.0025414294147478285,0.9992323517799377,0.005919774826677442,0.9985174,relu,None,5,4,2,sigmoid,binary_crossentropy,1.4,Adam,brick,None
5,0.015067757821824717,0.9968686699867249,0.005403286857278531,0.99863684,relu,None,5,4,2,sigmoid,binary_crossentropy,1.8499999999999999,Adam,brick,None
5,0.004304615216285009,0.9987070560455322,0.005534605123826062,0.9986766,relu,None,5,4,2,sigmoid,binary_crossentropy,2.3,Adam,brick,None
5,0.00400267541823048,0.9989696741104126,0.006074954532272187,0.99856716,relu,None,5,4,2,sigmoid,binary_crossentropy,2.75,Adam,brick,None
5,0.004374068641668242,0.9989696741104126,0.005767894636719158,0.99875623,relu,None,5,4,2,sigmoid,binary_crossentropy,3.1999999999999997,Adam,brick,None
5,0.003921274376147653,0.9989091157913208,0.005338191344342495,0.9986567,relu,None,5,4,2,sigmoid,binary_crossentropy,3.6499999999999995,Adam,brick,None
5,0.004010368854557682,0.9989293217658997,0.0057603083094338705,0.99863684,relu,None,5,4,2,sigmoid,binary_crossentropy,4.1,Adam,brick,None
5,0.003739020953375865,0.9987474679946899,0.00547004536476475,0.998597,relu,None,5,4,2,sigmoid,binary_crossentropy,4.55,Adam,brick,None
5,0.006170203223815094,0.9980807900428772,0.006957425919254843,0.998,relu,None,5,8,0,sigmoid,binary_crossentropy,0.5,Adam,brick,None
5,0.006476526217262327,0.998100996017456,0.007227227294724898,0.9978706,relu,None,5,8,0,sigmoid,binary_crossentropy,0.95,Adam,brick,None
5,0.006679584885768667,0.9979192018508911,0.007955208674689468,0.99786067,relu,None,5,8,0,sigmoid,binary_crossentropy,1.4,Adam,brick,None
5,0.007043201174737528,0.9985454678535461,0.007883471851510492,0.9977612,relu,None,5,8,0,sigmoid,binary_crossentropy,1.8499999999999999,Adam,brick,None
5,0.006554296438732759,0.9981616139411926,0.008016091407605664,0.9977811,relu,None,5,8,0,sigmoid,binary_crossentropy,2.3,Adam,brick,None
5,0.008171513620256024,0.9972525238990784,0.008968460293718387,0.9974428,relu,None,5,8,0,sigmoid,binary_crossentropy,2.75,Adam,brick,None
5,0.005459162847355309,0.9982020258903503,0.00642170550327155,0.99818903,relu,None,5,8,0,sigmoid,binary_crossentropy,3.1999999999999997,Adam,brick,None
5,0.008473401231333763,0.9973737597465515,0.009741259777649718,0.99722385,relu,None,5,8,0,sigmoid,binary_crossentropy,3.6499999999999995,Adam,brick,None
5,0.008281937750630231,0.9970303177833557,0.009036790564517254,0.9974328,relu,None,5,8,0,sigmoid,binary_crossentropy,4.1,Adam,brick,None
5,0.008229818581481172,0.9973131418228149,0.009149977938587133,0.99751246,relu,None,5,8,0,sigmoid,binary_crossentropy,4.55,Adam,brick,None
5,0.003153417220390919,0.9988889098167419,0.00465383210537471,0.9989055,relu,None,5,8,1,sigmoid,binary_crossentropy,0.5,Adam,brick,None
5,0.0024840656025993703,0.9994747638702393,0.0059389893546183846,0.9987463,relu,None,5,8,1,sigmoid,binary_crossentropy,0.95,Adam,brick,None
5,0.0029248240835014544,0.9991313219070435,0.0051584860093996454,0.99868655,relu,None,5,8,1,sigmoid,binary_crossentropy,1.4,Adam,brick,None
5,0.0045595359616357875,0.9992727041244507,0.005495567872103267,0.9986965,relu,None,5,8,1,sigmoid,binary_crossentropy,1.8499999999999999,Adam,brick,None
5,0.004129190688422467,0.9987272620201111,0.005451166276238506,0.99866664,relu,None,5,8,1,sigmoid,binary_crossentropy,2.3,Adam,brick,None
5,0.002564428677935285,0.9992727041244507,0.005090049564432693,0.99875623,relu,None,5,8,1,sigmoid,binary_crossentropy,2.75,Adam,brick,None
5,0.002521017569183099,0.9994747638702393,0.006411287394930569,0.998597,relu,None,5,8,1,sigmoid,binary_crossentropy,3.1999999999999997,Adam,brick,None
5,0.0026793935637970485,0.9991111159324646,0.004193644482610702,0.9989055,relu,None,5,8,1,sigmoid,binary_crossentropy,3.6499999999999995,Adam,brick,None
5,0.003574394862774308,0.9989494681358337,0.00397205264634506,0.99891543,relu,None,5,8,1,sigmoid,binary_crossentropy,4.1,Adam,brick,None
5,0.003557621677236801,0.9989898800849915,0.004840497204931963,0.9988756,relu,None,5,8,1,sigmoid,binary_crossentropy,4.55,Adam,brick,None
5,0.009799090149392599,0.9976767897605896,0.005419727538426787,0.998607,relu,None,5,8,2,sigmoid,binary_crossentropy,0.5,Adam,brick,None
5,0.00317555786925368,0.999050498008728,0.006907574667704213,0.99850744,relu,None,5,8,2,sigmoid,binary_crossentropy,0.95,Adam,brick,None
5,0.004448608065136906,0.9989898800849915,0.006758756606626459,0.9984876,relu,None,5,8,2,sigmoid,binary_crossentropy,1.4,Adam,brick,None
5,0.0058034681026880265,0.9985252618789673,0.005326877673857948,0.99866664,relu,None,5,8,2,sigmoid,binary_crossentropy,1.8499999999999999,Adam,brick,None
5,0.003541659238160296,0.9992929100990295,0.006447180164430582,0.99834824,relu,None,5,8,2,sigmoid,binary_crossentropy,2.3,Adam,brick,None
5,0.004497646870655995,0.9987272620201111,0.006664304806684046,0.9983781,relu,None,5,8,2,sigmoid,binary_crossentropy,2.75,Adam,brick,None
5,0.005138504751609883,0.9994949698448181,0.00714670103067238,0.99842787,relu,None,5,8,2,sigmoid,binary_crossentropy,3.1999999999999997,Adam,brick,None
5,0.004310185924708617,0.9991313219070435,0.007619166585943425,0.99834824,relu,None,5,8,2,sigmoid,binary_crossentropy,3.6499999999999995,Adam,brick,None
5,0.006837453575945939,0.9982828497886658,0.007439155015679753,0.9984478,relu,None,5,8,2,sigmoid,binary_crossentropy,4.1,Adam,brick,None
5,0.004398769336216377,0.9989494681358337,0.006599316456659804,0.9983284,relu,None,5,8,2,sigmoid,binary_crossentropy,4.55,Adam,brick,None
5,0.005300995662432127,0.9982626438140869,0.006458604425474519,0.9982388,relu,None,5,16,0,sigmoid,binary_crossentropy,0.5,Adam,brick,None
5,0.005586965640315391,0.9980807900428772,0.006639934895258971,0.9982786,relu,None,5,16,0,sigmoid,binary_crossentropy,0.95,Adam,brick,None
5,0.006693876401493043,0.9979192018508911,0.007223674966050173,0.9979403,relu,None,5,16,0,sigmoid,binary_crossentropy,1.4,Adam,brick,None
5,0.006849742977193209,0.9981616139411926,0.007781107408907357,0.9977811,relu,None,5,16,0,sigmoid,binary_crossentropy,1.8499999999999999,Adam,brick,None
5,0.006603614805811884,0.9983636140823364,0.007498935191498244,0.9979005,relu,None,5,16,0,sigmoid,binary_crossentropy,2.3,Adam,brick,None
5,0.005693695901356864,0.9983232617378235,0.00638609484303511,0.9982985,relu,None,5,16,0,sigmoid,binary_crossentropy,2.75,Adam,brick,None
5,0.005977420335748431,0.9983636140823364,0.006044387294452137,0.99831843,relu,None,5,16,0,sigmoid,binary_crossentropy,3.1999999999999997,Adam,brick,None
5,0.006229633012269106,0.9978787899017334,0.007152281377645237,0.9980796,relu,None,5,16,0,sigmoid,binary_crossentropy,3.6499999999999995,Adam,brick,None
5,0.005944062752865556,0.9979596138000488,0.007132829066727366,0.99808955,relu,None,5,16,0,sigmoid,binary_crossentropy,4.1,Adam,brick,None
5,0.005736012597267299,0.9982020258903503,0.006451307195526042,0.9982189,relu,None,5,16,0,sigmoid,binary_crossentropy,4.55,Adam,brick,None
5,0.0058556150815354405,0.9983030557632446,0.005276790917300255,0.9986269,relu,None,5,16,1,sigmoid,binary_crossentropy,0.5,Adam,brick,None
5,0.002873541695303331,0.9992323517799377,0.0060321570874448975,0.99861693,relu,None,5,16,1,sigmoid,binary_crossentropy,0.95,Adam,brick,None
5,0.0034176250054863177,0.9990909099578857,0.005190276247066743,0.9987662,relu,None,5,16,1,sigmoid,binary_crossentropy,1.4,Adam,brick,None
5,0.004443401055107119,0.9991313219070435,0.0062181254985883595,0.99861693,relu,None,5,16,1,sigmoid,binary_crossentropy,1.8499999999999999,Adam,brick,None
5,0.002642819988731803,0.9992121458053589,0.004936451509105365,0.9986567,relu,None,5,16,1,sigmoid,binary_crossentropy,2.3,Adam,brick,None
5,0.0034876393456943332,0.9990302920341492,0.005537777610377997,0.9984975,relu,None,5,16,1,sigmoid,binary_crossentropy,2.75,Adam,brick,None
5,0.006078884791935597,0.9984646439552307,0.0055451688708434005,0.9986567,relu,None,5,16,1,sigmoid,binary_crossentropy,3.1999999999999997,Adam,brick,None
5,0.004311747018180816,0.9987474679946899,0.005424924290718729,0.9986567,relu,None,5,16,1,sigmoid,binary_crossentropy,3.6499999999999995,Adam,brick,None
5,0.003640311764948296,0.9986868500709534,0.005925356238765934,0.99856716,relu,None,5,16,1,sigmoid,binary_crossentropy,4.1,Adam,brick,None
5,0.003724982776724959,0.9988282918930054,0.005758834082412589,0.998806,relu,None,5,16,1,sigmoid,binary_crossentropy,4.55,Adam,brick,None
5,0.005828532324774624,0.9985252618789673,0.0074392688276561265,0.99822885,relu,None,5,16,2,sigmoid,binary_crossentropy,0.5,Adam,brick,None
5,0.002992088751994412,0.9991111159324646,0.006175688478494001,0.9983582,relu,None,5,16,2,sigmoid,binary_crossentropy,0.95,Adam,brick,None
5,0.004493496298853477,0.9987474679946899,0.005709426929355994,0.9984378,relu,None,5,16,2,sigmoid,binary_crossentropy,1.4,Adam,brick,None
5,0.004191422062046412,0.9989293217658997,0.006214605874712672,0.99847764,relu,None,5,16,2,sigmoid,binary_crossentropy,1.8499999999999999,Adam,brick,None
5,0.005553806303759256,0.9982020258903503,0.005675160288070537,0.99863684,relu,None,5,16,2,sigmoid,binary_crossentropy,2.3,Adam,brick,None
5,0.00384797557163278,0.9990100860595703,0.006170593229629533,0.9985174,relu,None,5,16,2,sigmoid,binary_crossentropy,2.75,Adam,brick,None
5,0.008060939892674937,0.9978989958763123,0.005522304893666774,0.9984876,relu,None,5,16,2,sigmoid,binary_crossentropy,3.1999999999999997,Adam,brick,None
5,0.008931955588271258,0.9977171421051025,0.006162446344940835,0.9982786,relu,None,5,16,2,sigmoid,binary_crossentropy,3.6499999999999995,Adam,brick,None
5,0.0038056706182454064,0.9988687038421631,0.0053259697989971886,0.9986567,relu,None,5,16,2,sigmoid,binary_crossentropy,4.1,Adam,brick,None
5,0.0031281307907245885,0.9991717338562012,0.006413530173073366,0.99840796,relu,None,5,16,2,sigmoid,binary_crossentropy,4.55,Adam,brick,None
5,0.005202174238846496,0.9981616139411926,0.005838917786466301,0.9983085,relu,None,5,32,0,sigmoid,binary_crossentropy,0.5,Adam,brick,None
5,0.004420263509378966,0.9989494681358337,0.006088290372075726,0.9984478,relu,None,5,32,0,sigmoid,binary_crossentropy,0.95,Adam,brick,None
5,0.004384886359382007,0.9985858798027039,0.005480573767810059,0.9985771,relu,None,5,32,0,sigmoid,binary_crossentropy,1.4,Adam,brick,None
5,0.004978354897312444,0.9983636140823364,0.005768911570567749,0.9984378,relu,None,5,32,0,sigmoid,binary_crossentropy,1.8499999999999999,Adam,brick,None
